tweet_wakati,emoji
"弱り 長男 と 長男 を 交代 し て くれる タイプ の 次男 … … だ と 思っ た 長男 と 、 すべて お 見通し な わけ で は ない 次男 です 😀 
",😀
"リアクション いい です ねぇ 😀 
",😀
"😀 
",😀
"可愛い こと 言っ てる じゃ ーーー ん 😀 ？ 
",😀
"おはよう 😀😀🍀🍀👋👋 
",😀
"領有 権 が 中 に 有る なら 不要 な の で は ？ っと 思っ て た けど … まっ 、 まさか ！？！？！？ 😀😄😆 
",😀
"フレンド なっ たら たら さん チケット くれる の ？ 😀 
",😀
"みっ こり 😀 
",😀
"ゆっくり 休ん で ください 😀 
",😀
"久しぶり の クロブ 楽しかっ た ワ 😀 
",😀
"戸部 くん と 私 の カップリング 固定 です 地雷 です 去れ ーーーーーーーーーーーーー 😀😃😄😁😆😅😂🤣🥲 ☺ ️ 😊 😇 🙃 🙂 😉 😌 😍🥰😘😗😙😚😋😛😝😜🤪🤨🧐🤓😎🥸🤩🥳😏😒😞😟😔😕🙁 ☹ ️😣😖😫😩🥺😢😭😤😠😡🤬🤯😳🥵🥶😱😶 ‍ 🌫 ️😨😰😥😓🤔🤗🤭🤫🤥😶😐😑😬🙄😯😦😧😮🥱😲😴🤤😪😮 ‍ 💨😵😵 ‍ 💫🤐🥴🤢🤮🤧😷🤒🤕🤑🤠 
",😀
"( 😀 店主 ) 
",😀
"😀 
",😀
"私 の 中 で 一番 ✨ そして リーズナブル 😀 
",😀
"？ 😀💟 
",😀
"金玉 、 、 、 ごめん 、 、 、 ジュン は 来 なかっ た 、 、 、 、 😀 
",😀
"💪😀🤳 
",😀
"こ ぱ も 寝 て ない やん 😀 早く 寝ろ ？ 
",😀
"ぁ 😀😽 
",😀
"に 😀😘 
",😀
"おでこ ちゃん 😀😃😃😀😃 機嫌 よし 
",😀
"お疲れ様 😀 
",😀
"寝 て ない やん 😀 
",😀
"プロポーズ さ れ て 、 この 人 と なら 退屈 し な さ そう だ な と 受け たら 、 2 ヶ月 で 離婚 し た ので 、 本当に 退屈 し ませ ん でし た 😀 ❣ ️ 
",😀
"いいえ 、 松尾 芭蕉 ちゃん です 😀 。 
",😀
"おでこ ちゃん 😀😃😃😀😃 機嫌 よし 
",😀
"端末 は 店 で 買え ば 即日 だ し 端末 変え て みる 方 が 手っ取り早い 😀 
",😀
"取っ て も 乗り 慣れ ない と いけ ない ので 、 焦る 必要 は ない です よ 😀 
",😀
"ほう … 😀 
",😀
"つ ー ぶ くん の オクタン も もちろん 好き だ けど 、 レ イス も 好き 😀 
",😀
"こんな １ 枚 が 撮れ て た 😀 
",😀
"お つの え でし た 😀 
",😀
"本当に 出血 し やすい デリケート な ところ だ から ね 😀 
",😀
"カイ ちゃん 、 寺 ちゃん お疲れ様 でし た 😀 
",😀
"発表 ドキドキ 〜 😀💛 
",😀
"３ 時 まで 繋げ て みる けど 誰 も 来 なかっ たら やめる 😀 
",😀
"これ も また 懐かしい 動画 が 出 て き た 😀 
",😀
"妥当 な 判断 だ と 思う 😀 
",😀
"卒 オメ です 。 また 会い に 行き ます 、 また ね 👋😀 
",😀
"カイ ちゃん 、 寺 ちゃん お疲れ様 でし た 😀 
",😀
"お疲れ様 です 😀 また あした 😃 
",😀
"そう そう 、 上 から 粉 かける タイプ の やつ 😀 
",😀
"😀🗯 ポケカ 強化 中 🗯 
",😀
"応募 用 ツイート は 毎日 00 : 00 に 投稿 し て ます 😀 ✨ 
",😀
"パチ 系 の 仕事 し て た から 分かり やすい ん だ ね 😀 って 言っ て くれ た 
",😀
"そう そう 、 私 も 気 に なっ て て とりあえず 🇸🇪 から は 2 、 3 割 増し み たい よ 😀💦 
",😀
"おはよう ござい ます 😀 
",😀
"思い出 と いえ ば 、 運命 的 な 再会 を し た こと か な 😀 
",😀
"気持ち 楽 に なり ます 😀 
",😀
"地元 野菜 の ピクルス も 美味 😀 
",😀
"みや さん も やり だし たら ガッツリ やる タイプ な ん だ ね w 😀 
",😀
"肉まん です か ❔ 😀 
",😀
"はじめまして ! こんばんは 😀 
",😀
"また 出演 、 参加 し た 際 は 撮影 し ます ね 。 😀 
",😀
"私 が 離婚 し てる の 知っ て て 付き合っ た のに 、 バツ イチ は やっぱり 無理 だ わ 〜 とか 最近 よく 言う の 。 なん な の 😀 ？ 
",😀
"お前 は 最近 ピチピチ 20 歳 の 学生 と 出会っ て 、 LINE 交換 し て 楽しい だろ う ね 〜 仕事 行く の が 楽しい よ ね ？ 最近 の 流行り とか 言っ て くる けど 、 その 女 に 聞い た ん でしょ ？ 死ね 😀 
",😀
"9 / 30 まで 】 日本一 制服 が 似合う 男女 を 決める コンテスト ✨ 審査 に は 芸能 事務所 の スカウト も 参加 😀 みなさん に 芸能 デビュー の チャンス も あり ます 😆 初めて オーディション を 受ける という 方 も 多い ので 、 気軽 に 応募 し て み て ね ‼ ️ 
",😀
"また 是非 福岡 に 来 て ください ね 😀 
",😀
"ワロタ 😀 
",😀
"😀😀😀 
",😀
"プロポーズ さ れ て 、 この 人 と なら 退屈 し な さ そう だ な と 受け たら 、 2 ヶ月 で 離婚 し た ので 、 本当に 退屈 し ませ ん でし た 😀 ❣ ️ 
",😀
"怎麽 朋友 中 只 有我 打 高 端 😀 
",😀
"状況 に より ます ね 😀 
",😀
"え 、 😀 って なっ てる の おもろい www 
",😀
"😀😀😀 
",😀
"今日 の 平場 。 的中 ラッシュ と いき ましょ う 😀 
",😀
"今日 は 的中 ラッシュ 狙い に なり ます 😀 
",😀
"少年 たち 楽しみ すぎ て 寝 れ ない 民 😀 
",😀
"応募 用 ツイート は 毎日 00 : 00 に 投稿 し て ます 😀 ✨ 
",😀
"大事 に ワシ ワシ 使わ せ て 頂き ます 😀 
",😀
"月見 バーガー やっぱり 卵 が 好き じゃ ない 🙄 今後 食べる こと は もう ない 😀 
",😀
"今後 と も よろしく お願い し ます 😀 
",😀
"すい ぶん 人数 増え まし た ね ～ 😀 
",😀
"こんな ん ばっか し てる から まとも な の が ない 😀 
",😀
"お疲れ様 です 。 体調 管理 しっかり です 😀 
",😀
"なるほど な 〜 〜 うち 160 ジャスト で も ヒール 履く の ちょっと 抵抗 し てる 😀😀 
",😀
"応募 用 ツイート は 毎日 00 : 00 に 投稿 し て ます 😀 ✨ 
",😀
"お疲れ様 でし た 、 感動 を ありがとう 😀 
",😀
"最高 な ん だ けど ね 😀 
",😀
"おはよう ござい ます 😀 
",😀
"新曲 歌う よ 🎤😀🎵🎶🎵🎶 
",😀
"新曲 歌う よ 🎤😀🎵🎶🎵🎶 
",😀
"😀😀😀 
",😀
"千葉 10 区 の 皆さん 是非 、 落選 さ せ て 下さい ✊ 😀 
",😀
"＃ 千 葉 代表 【 梓 まり 】 さん を 応援 し て ます ✊ 😀 
",😀
"な 、 なん だろ う ね 😀😀 
",😀
"最終 日 まで に 成功 し たら ご 褒美 ください 😀 … 
",😀
"初 山梨 です !! わん ちゃん 顔 だけ でも 見 に 来 て ください 😀 
",😀
"… 🥱😀😊 
",😀
"死ぬ ほど 頭 痛く て リア タイ で テレビ を 見る こと さえ 苦難 でし た ！ ！ ！ もう 治っ た から 明日 ちゃん みな 見 ます 😀😀 へ け へ け 
",😀
"やば 、 呼び出し くらっ た 😀🍃🏆 
",😀
"いつ でも お 気軽 に お 声 掛け ください 😀 
",😀
"応募 用 ツイート は 毎日 00 : 00 に 投稿 し て ます 😀 ✨ 
",😀
"2 回戦 目 皆さん お疲れ様 でし た 😀 
",😀
"有吉 反省 会 、 餓鬼 レン ジャー 出演 し て た 😀🎶 
",😀
"夏 の 思い出 ？ なん それ ーーー っ 😀 ☝ 🏻 
",😀
"応募 用 ツイート は 毎日 00 : 00 に 投稿 し て ます 😀 ✨ 
",😀
"分量 は 自分 で 勝ち取る もの だ から 物語 は これから だ よ ね ？ ？ 迅 って そ ー ゆ ー 奴 じゃん ？ ☝ 🏻 ☝ 🏻😀🥲 
",😀
"プロポーズ さ れ て 、 この 人 と なら 退屈 し な さ そう だ な と 受け たら 、 2 ヶ月 で 離婚 し た ので 、 本当に 退屈 し ませ ん でし た 😀 ❣ ️ 
",😀
"おでこ ちゃん 😀😃😃😀😃 機嫌 よし 
",😀
"しゅん た ありがと ーーー う 😀 
",😀
"人気 上昇 中 の 注目 株 😀 
",😀
"ちょっと 違う ね 😁 
",😁
"今日 も 人生 愉快 だっ た 😁 おやすみ セカイ 🤯 ☀ ️ 
",😁
"mini 使っ て み た ‼ ️ で レビュー し ます ね 😁 
",😁
"誰 と 交換 が いい ？ ？ 🤔😁 
",😁
"お 楽しみ ライブ に なる 予定 です 😁 
",😁
"大分 フライング で 入れ て た けど ゆず 色 さん 😁 
",😁
